,,,,,
,,,,,
,,,,,
2,2018-06-01,汤氏物流,A轮,1亿,"[[u'\u666e\u6d1b\u65afGLP'], [u'\u5408\u529b\u6295\u8d44'], [u'\u9669\u5cf0\u957f\u9752']]"
3,2018-06-01,游道篮球,战略投资,1500万,"[[u'\u4e16\u7eaa\u660e\u5fb7\u6559\u80b2'], [u'\u52a8\u56e0\u4f53\u80b2']]"
4,2018-06-01,Cocos引擎,A轮,未透露,[[u'\u54c8\u5e0c\u8d44\u672cHash Capital']]
5,2018-06-01,ZingFront智线,A轮,数千万,[[u'\u767e\u5ea6\u98ce\u6295']]
6,2018-06-01,深醒科技,B轮,数亿,"[[u'\u6606\u4ef2\u8d44\u672c'], [u'\u56fd\u79d1\u5609\u548c'], [u'\u51ef\u65cb\u521b\u6295'], [u'\u7ecf\u7eac\u4e2d\u56fd']]"
7,2018-06-01,耳朵财经,Pre-A轮,数百万,[[u'JRR Crypto']]
8,2018-06-01,白山云,C+轮,2.4亿,[[u'\u5fb7\u5a01\u8d44\u672c']]
9,2018-06-01,VIPCODE编程,A轮,8500万,"[[u'\u521b\u65b0\u5de5\u573a'], [u'\u84dd\u6e56\u8d44\u672c'], [u'\u771f\u683c\u57fa\u91d1'], [u'\u8f6f\u94f6\u4e2d\u56fd']]"
10,2018-06-01,Today便利店,B+轮,3亿,[[u'General Atlantic\u6cdb\u5927\u897f\u6d0b\u6295\u8d44']]
11,2018-06-01,婷婷姐姐,A轮,5000万,"[[u'\u5929\u56fe\u6295\u8d44'], [u'\u5317\u6781\u5149\u521b\u6295']]"
12,2018-06-01,小红书,D轮,3亿,"[[u'\u91d1\u6c99\u6c5f\u521b\u6295'], [u'GGV\u7eaa\u6e90\u8d44\u672c'], [u'\u963f\u91cc\u5df4\u5df4'], [u'\u817e\u8baf'], [u'K11'], [u'\u5143\u751f\u8d44\u672c'], [u'\u771f\u683c\u57fa\u91d1'], [u'\u5929\u56fe\u6295\u8d44'], [u'\u90d1\u5fd7\u521a']]"
13,2018-05-31,playBlock,天使轮,数千万,[u'\u672a\u900f\u9732']
14,2018-05-31,大象声科,A轮,未透露,"[[u'\u5c0f\u7c73\u79d1\u6280'], [u'\u9ad8\u901aQualcomm Ventures']]"
15,2018-05-31,万康药业,天使轮,2000万,[u'\u672a\u900f\u9732']
